file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00149_0253_777254_to_777878,དེ་རྗེས་ ,de rjes _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00149_0253_777254_to_777878.wav,STT_AB,2,9,0.624,wav16k/STT_AB00149_0253_777254_to_777878.wav,དེ་རྗེས་
STT_AB00149_0254_778300_to_779414,མཁན་པོ་མཁས་པ་གཉིས་ལ་ ,mkhan po mkhas pa gnyis la _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00149_0254_778300_to_779414.wav,STT_AB,2,21,1.114,wav16k/STT_AB00149_0254_778300_to_779414.wav,མཁན་པོ་མཁས་པ་གཉིས་ལ་
STT_AB00149_0255_780240_to_781034,རྟགས་བསལ་བཏང་སྟེ་ ,rtags bsal btang ste _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00149_0255_780240_to_781034.wav,STT_AB,2,18,0.794,wav16k/STT_AB00149_0255_780240_to_781034.wav,རྟགས་བསེལ་བཏང་སྟེ་
STT_AB00331_0033_249394_to_255912,སྒོ་ནས་གཅུང་མོར་བརྟག་པ་ཞིབ་ཅིང་ཕྲ་བ་ཞིག་བྱས་པའི་རྗེས་སུ་རེ་བ་དང་བྲལ་བའི་ངང་ནས་ ,sgo nas gcung mor brtag pa zhib cing phra ba zhig byas pa'i rjes su re ba dang bral ba'i ngang nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00331_0033_249394_to_255912.wav,STT_AB,2,79,6.518,wav16k/STT_AB00331_0033_249394_to_255912.wav,སྒོ་ནས་གཅུང་མོར་རྟག་པ་ཞིབ་ཅིང་ཕྲ་བ་ཞིག་བྱས་པའི་རྗེས་སུ་རེ་བ་དང་བྲལ་བའི་ངང་ནས་
STT_AB00331_0043_323370_to_328267,སེམས་པ་གཏིང་ནས་སྐྱོ་སྟེ་རིམ་བཞིན་མིག་གཉིས་ནས་ཐོན་པའི་མཆི་མ་ ,sems pa gting nas skyo ste rim bzhin mig gnyis nas thon pa'i mchi ma _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00331_0043_323370_to_328267.wav,STT_AB,2,60,4.897,wav16k/STT_AB00331_0043_323370_to_328267.wav,སེམས་པ་གཏིང་ནས་སྐྱོ་སྟེ་རིམ་བཞིན་མིག་གཉིས་ནས་ཐོན་པའི་མཆི་མ་
STT_AB00319_1652_4308455_to_4311663,འདུ་ཤེས་ལས་གཞན་པའི་སེམས་བྱུང་རྣམས་ནི་མཚུངས་ལྡན་དང་།  ,'du shes las gzhan pa'i sems byung rnams ni mtshungs ldan dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00319_1652_4308455_to_4311663.wav,STT_AB,2,53,3.208,wav16k/STT_AB00319_1652_4308455_to_4311663.wav,འདུ་ཤེས་ལས་གཞན་པའི་སེམས་བྱུང་རྣམས་ནི་མཚུངས་ལྡན་དང་།
STT_AB00319_1657_4321134_to_4323421,སྐལ་ལྡན་ཁྱད་པར་ཅན་ནི་གཅིག་ཏུ་འདོད་དེ།  ,skal ldan khyad par can ni gcig tu 'dod de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00319_1657_4321134_to_4323421.wav,STT_AB,2,39,2.287,wav16k/STT_AB00319_1657_4321134_to_4323421.wav,སྐལ་ལྡན་ཁྱད་པར་ཅན་ནི་གཅིག་ཏུ་འདོད་དེ།
STT_AB00319_1662_4332687_to_4334394,ཉོན་མོངས་དགེ་ཆོས་ཡོད་མ་ཡིན།  ,nyon mongs dge chos yod ma yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00319_1662_4332687_to_4334394.wav,STT_AB,2,29,1.707,wav16k/STT_AB00319_1662_4332687_to_4334394.wav,ཉོན་མོངས་དགེ་ཆོས་ཡོད་མ་ཡིན།
STT_AB00149_0369_1117690_to_1120019,ཅིག་ཅར་དུ་ཟླ་གཟུགས་སྣང་བ་བཞིན།  ,cig car du zla gzugs snang ba bzhin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00149_0369_1117690_to_1120019.wav,STT_AB,2,32,2.329,wav16k/STT_AB00149_0369_1117690_to_1120019.wav,ཅིག་ཅར་དུ་ཟླ་ཟུག་སྣང་བ་བཞིན།
STT_AB00149_0066_217493_to_218033,གཉིས་པ།  ,gnyis pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00149_0066_217493_to_218033.wav,STT_AB,2,9,0.54,wav16k/STT_AB00149_0066_217493_to_218033.wav,གཉིས་པ།
STT_AB00149_0370_1120221_to_1122533,སངས་རྒྱས་ཀྱིས་ཀྱང་ཞིང་ཁམས་དུ་མར།  ,sangs rgyas kyis kyang zhing khams du mar/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00149_0370_1120221_to_1122533.wav,STT_AB,2,34,2.312,wav16k/STT_AB00149_0370_1120221_to_1122533.wav,སངས་རྒྱས་ཀྱིས་ཀྱང་ཞིང་ཁམས་དུ་མར་
